#ID(s) interactor A	ID(s) interactor B	Annotation(s) interactor A	Annotation(s) interactor B
uniprotkb:Q9CQ33	uniprotkb:O00238	comment:mint|function:Probable transcriptional regulator that may play a crucial role in embryogenesis|comment:"Stoichiometry: 1.0"	function:"Defects in BMPR1B are a cause of brachydactyly type A2 (BDA2) [MIM:112600]. Brachydactylies (BDs) are a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. They have been classified on an anatomic and genetic basis into five groups, A to E, including three subgroups (A1 to A3) that usually manifest as autosomal dominant traits. BDA2 was described first in a large Norwegian kindred. BDA2 is caused by mutations in BMPR1B gene and studies demonstrate that these mutations function as dominant negatives in vitro and in vivo"|function:On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for BMPS/OP-1|comment:mint|function:"Defects in BMPR1B are the cause of acromesomelic chondrodysplasia with genital anomalies [MIM:609441]. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs, and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers)"|comment:"Stoichiometry: 1.0"
uniprotkb:Q8BQA9	uniprotkb:P36897	comment:mint|comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:P97348	uniprotkb:Q04771	comment:mint|function:Involved in endosome dynamics. May coordinate membrane transport with the function of the cytoskeleton. Participates in reorganization of actin cytoskeleton|comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:O00238	uniprotkb:P97348	function:"Defects in BMPR1B are a cause of brachydactyly type A2 (BDA2) [MIM:112600]. Brachydactylies (BDs) are a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. They have been classified on an anatomic and genetic basis into five groups, A to E, including three subgroups (A1 to A3) that usually manifest as autosomal dominant traits. BDA2 was described first in a large Norwegian kindred. BDA2 is caused by mutations in BMPR1B gene and studies demonstrate that these mutations function as dominant negatives in vitro and in vivo"|function:On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for BMPS/OP-1|comment:mint|function:"Defects in BMPR1B are the cause of acromesomelic chondrodysplasia with genital anomalies [MIM:609441]. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs, and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers)"|comment:"Stoichiometry: 1.0"	comment:mint|function:Involved in endosome dynamics. May coordinate membrane transport with the function of the cytoskeleton. Participates in reorganization of actin cytoskeleton|comment:"Stoichiometry: 1.0"
uniprotkb:P97348	uniprotkb:Q15796	comment:mint|function:Involved in endosome dynamics. May coordinate membrane transport with the function of the cytoskeleton. Participates in reorganization of actin cytoskeleton|comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:P97348	uniprotkb:Q9HAU4	comment:mint|function:Involved in endosome dynamics. May coordinate membrane transport with the function of the cytoskeleton. Participates in reorganization of actin cytoskeleton|comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:P97348	uniprotkb:P36897	comment:mint|function:Involved in endosome dynamics. May coordinate membrane transport with the function of the cytoskeleton. Participates in reorganization of actin cytoskeleton|comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:P97348	uniprotkb:Q13485	comment:mint|function:Involved in endosome dynamics. May coordinate membrane transport with the function of the cytoskeleton. Participates in reorganization of actin cytoskeleton|comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:Q9HAU4	uniprotkb:Q9ESK4	comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
uniprotkb:Q15797	uniprotkb:Q9ESK4	comment:"Stoichiometry: 1.0"	comment:"Stoichiometry: 1.0"
